,No.,Job_Company,Job_Title,Job_Description,Education_level,Skills_Requirement
85,86,德昂資訊股份有限公司,JAVA開發運維工程師 --台湾或者高雄,"崗位職責：
1. 新系統開發
2. 核心系統運維
3. 系統分析
4. BI分析

任職要求：
1、具有扎實的Java功底，具有較好的JavaIO、多綫程等方面的編程能力；
2、熟悉常見設計模式，熟練使用 SpringMVC,SpringBoot 框架、熟練使用至少一種 ORM 框架如 Hibernate、MyBatis；
3、熟悉SpringCloud,Dubbo微服務框架，以及相關組件，幷且可以從事微服務項目的運維工作，常見WEB項目的部署安裝，問題排查與解决等；
4、熟悉Mysql/Oracle數據庫設計，具有SQL編寫及調優能力，熟悉常見NoSQL存儲；
5、具有良好的編碼風格，較强的邏輯思維能力，有較好的自學能力和獨立工作能力
",專科以上,"崗位職責：
1. 新系統開發
2. 核心系統運維
3. 系統分析
4. BI分析

任職要求：
1、具有扎實的Java功底，具有較好的JavaIO、多綫程等方面的編程能力；
2、熟悉常見設計模式，熟練使用 SpringMVC,SpringBoot 框架、熟練使用至少一種 ORM 框架如 Hibernate、MyBatis；
3、熟悉SpringCloud,Dubbo微服務框架，以及相關組件，幷且可以從事微服務項目的運維工作，常見WEB項目的部署安裝，問題排查與解决等；
4、熟悉Mysql/Oracle數據庫設計，具有SQL編寫及調優能力，熟悉常見NoSQL存儲；
5、具有良好的編碼風格，較强的邏輯思維能力，有較好的自學能力和獨立工作能力
[] 公司的官網地址 ： www.dataondemand.cn，歡迎您登陸瞭解。
 德昂公司邀請有志商務智慧大業的青年志士加入我們的團隊。德昂是MSTR大中華區最大總代理和解決方案提供商，專注於行銷BI，財務BI，移動BI，資料視覺化和企業BI，公司過去三年年均成長率超過50%，並持續盈利。目前擁有諸如新東方，和訊財經，外貿信託，海底撈，恒昌利通，味全，新華保險，富士康，Sisley, 中廣核等超過100家的知名客戶。公司業務模式除產品銷售，人力派遣，技術服務，專案實施外，也在逐步引入高端大資料分析諮詢，各類BI應用模組的開發，以及BI培訓認證等增值業務。
       德昂公司每年50%以上增長，面向金融，能源，企業，零售等行業客戶，專注移動商務智慧應用開發，擁有自主智慧財產權，獨特的企業文化， 致力建設幸福企業。建立有趣活潑的工作氛圍。附上我們的企業文化簡介給您參考 :  http://www.dataondemand.cn/content.aspx?page=deangwenhua  
     德昂公司的願景 ：
•	造就幸福企業，讓工作成為有趣的事。
•	成為BI領域最專業的服務提供, 應用開發, 和產品銷售公司。
•	致力提升產業能力，建立產業標準，發展良好產業生態。
•	成為雲服務，大資料分析，移動應用，互聯網產業的重要參與者和推動者。
     德昂公司的福利 ：
•	 有競爭力的薪酬；
•	 正式員工七險一金（臺灣勞健保）
•	 員工旅遊
•	 員工宿舍（北京）
•	 彈性調班、不刷卡考勤制度等。
德昂目前正在臺北，上海，北京和深圳四個地方擴大招才，急需业务，市场营销，BI技术，项目管理，需求设计等领域人才，如果您有相關領域的朋友也正在尋找機會，歡迎推薦，非常感謝。"
86,87,安訊集團_安訊國際網路股份有限公司,VE1 - 數據分析師,"◆ElasticSearch 資料匯入與分析
◆ Data Warehouse ETL建置程序設計
◆ 網路封包數據統計分析
◆ 分析各種結構化或非結構化資料
您毋需擔憂對網路Domain KnowHow是否熟悉，只要已俱備資料庫技術，公司會進行產業知識的傳授，對海量資料分析有崇高興趣者，都歡迎到安訊進行深度溝通瞭解
",專科以上,"◆ElasticSearch 資料匯入與分析
◆ Data Warehouse ETL建置程序設計
◆ 網路封包數據統計分析
◆ 分析各種結構化或非結構化資料
您毋需擔憂對網路Domain KnowHow是否熟悉，只要已俱備資料庫技術，公司會進行產業知識的傳授，對海量資料分析有崇高興趣者，都歡迎到安訊進行深度溝通瞭解
[]【資格條件】
◆ 熟悉任一語言以處理前置資料
◆ 熟悉任一RDBMS及SQL 語句的編寫
◆ 熟悉任一 NoSQL 資料匯入及分析
◆ 善於用資料庫 來數據分析，找出問題。過去經歷過的系統，單一表格筆數超過500萬筆以上(LogTable除外)
"
87,88,捷智商訊科技股份有限公司,ETL程式設計師,"1. 熟SSIS(SQL Server Integration Service) 或T-SQL
2. 使用ETL Tool 進行資料轉換
3. 依規格文件進行程式開發
4. 熟悉公司Flow Control使用
5. 有開發設計程式相關經驗者佳。",專科、大學,"1. 熟SSIS(SQL Server Integration Service) 或T-SQL
2. 使用ETL Tool 進行資料轉換
3. 依規格文件進行程式開發
4. 熟悉公司Flow Control使用
5. 有開發設計程式相關經驗者佳。[]"
88,89,新必優資訊股份有限公司,系統分析師 - 台北市區內,"- 客戶使用需求與問題對應 (需求訪談,因應政府法規變動進行維護等)
- 相關文件準備與撰寫 (循序圖, 活動圖, 流程圖等, 程式規格書等 使用Office/Visio)
- 具備系統架構規劃與使用者需求分析經驗 
- 具備資料庫設計技術 (Oracle PL/SQL) 
- 專案文件撰寫能力 
- 開發成果之驗證與測試技術
- 具備政府專案系統分析經驗尤佳
- Spring MVC經驗 (升級/重構spring 架構系統者尤佳)",不拘,"- 客戶使用需求與問題對應 (需求訪談,因應政府法規變動進行維護等)
- 相關文件準備與撰寫 (循序圖, 活動圖, 流程圖等, 程式規格書等 使用Office/Visio)
- 具備系統架構規劃與使用者需求分析經驗 
- 具備資料庫設計技術 (Oracle PL/SQL) 
- 專案文件撰寫能力 
- 開發成果之驗證與測試技術
- 具備政府專案系統分析經驗尤佳
- Spring MVC經驗 (升級/重構spring 架構系統者尤佳)[{'code': '12001004035', 'description': 'Oracle'}, {'code': '12001003053', 'description': 'Spring'}]歡迎專職SOHO及經營工作室工程師提案"
89,90,聯強國際股份有限公司,資料庫工程師(全球第二大IT通路集團),"(2020菁英計劃)於集團總部負責亞太(台灣、大陸、香港、澳洲、紐西蘭…)營運系統之研發與管理， 運用營運大數據，打造聯強數位神經系統，提升營運智能。

1.資料庫日常維護(監控/備份/異常處理)。
2.資料庫壓力測試，SQL語法調校。
3.資料庫架構規劃和安全管理。
4.配合專案規劃達到最佳化，減少資料重複性。
5.規劃、建置及改善公司資料庫，以提供最佳的資訊系統服務。",專科、大學、碩士,"(2020菁英計劃)於集團總部負責亞太(台灣、大陸、香港、澳洲、紐西蘭…)營運系統之研發與管理， 運用營運大數據，打造聯強數位神經系統，提升營運智能。

1.資料庫日常維護(監控/備份/異常處理)。
2.資料庫壓力測試，SQL語法調校。
3.資料庫架構規劃和安全管理。
4.配合專案規劃達到最佳化，減少資料重複性。
5.規劃、建置及改善公司資料庫，以提供最佳的資訊系統服務。[]1.資料庫兩年以上管理經驗,具Oracle經驗尤佳。
2.具SQL撰寫與調校經驗。"
90,91,STARWIN TRADING L.L.C,((想來杜拜瞧過來))強力招募雲端運維工程師工程師,"我們是杜拜新創的遊戲平台研發公司，從2020年1月至今在杜拜已有7個月的菜鳥資歷，在中東這奢華的杜拜國，經歷了疫情的挑戰，感謝阿拉的PO-PI(保佑)，讓我們越戰越勇，讓StarWin的運營目前持續成長 !

目前超想招聘一群有熱情、喜歡挑戰、想來杜拜體驗奢華，
想跟阿拉結善緣的技術高手，加入我們這人還少少、制度好還要更好的菜鳥公司。
讓大家在StarWin，一起高唱「We are family」!


崗位職責
1.負責線上遊戲的日常維護更新及故障排查，保證各遊戲項目的穩定性。
2.遊戲伺服器的系統運維工作，包括：日常維護更新、故障排查、發佈變更版本、系統監控、系統升級、系統安全、性能優化等
3.保障現有運維系統的穩定運行，並提升系統可靠性和可運維性。
4.開發和維護部署腳本和運維系統平臺，實現自動化部署和自動化運維。

具備專長及條件:
1.熟悉linux作業系統
2.四年以上運維相關經驗
3.熟悉Linux語法、Shell腳本
4.熟悉如nginx、tomcat、MySQL、Redis、Zookeeper、Zabbix 、ansible、docker、ElK等應用管理和維護
5.有AWS、騰訊雲、阿裡雲等系統管理維護經驗佳。
6.熟悉svn、jenkins等版本/發佈工俱佳。
7.自我驅動力強，有強烈責任感。
8.能配合公司初期人手不足，較長的工作時間。
9.其他海外工作1年以上工作經驗者，能快適應異國環境者優先考慮。",專科以上,"我們是杜拜新創的遊戲平台研發公司，從2020年1月至今在杜拜已有7個月的菜鳥資歷，在中東這奢華的杜拜國，經歷了疫情的挑戰，感謝阿拉的PO-PI(保佑)，讓我們越戰越勇，讓StarWin的運營目前持續成長 !

目前超想招聘一群有熱情、喜歡挑戰、想來杜拜體驗奢華，
想跟阿拉結善緣的技術高手，加入我們這人還少少、制度好還要更好的菜鳥公司。
讓大家在StarWin，一起高唱「We are family」!


崗位職責
1.負責線上遊戲的日常維護更新及故障排查，保證各遊戲項目的穩定性。
2.遊戲伺服器的系統運維工作，包括：日常維護更新、故障排查、發佈變更版本、系統監控、系統升級、系統安全、性能優化等
3.保障現有運維系統的穩定運行，並提升系統可靠性和可運維性。
4.開發和維護部署腳本和運維系統平臺，實現自動化部署和自動化運維。

具備專長及條件:
1.熟悉linux作業系統
2.四年以上運維相關經驗
3.熟悉Linux語法、Shell腳本
4.熟悉如nginx、tomcat、MySQL、Redis、Zookeeper、Zabbix 、ansible、docker、ElK等應用管理和維護
5.有AWS、騰訊雲、阿裡雲等系統管理維護經驗佳。
6.熟悉svn、jenkins等版本/發佈工俱佳。
7.自我驅動力強，有強烈責任感。
8.能配合公司初期人手不足，較長的工作時間。
9.其他海外工作1年以上工作經驗者，能快適應異國環境者優先考慮。[{'code': '12001001007', 'description': 'Linux'}, {'code': '12001001020', 'description': 'Shell'}]((好奇福利嗎?看過來))

1.別家宿舍兩人一間上下舖，我們給你住豪華Villa別墅、獨立一間房。
2.別家辦公樓破舊牛鬼蛇神多，我們辦公樓高大尚有設計，辦公室還能看哈里發塔。
3.萬一不小心生病了，公司提供每年5萬醫療津貼，讓您杜拜生病花費免煩惱。
4.思鄉想家了，公司每年提供10萬機票補助，讓您到職4-6個月，選擇回國放個鬆。
5.免費提供午晚餐，但任性想自己煮，可選擇折40AED(320NT/天)現金隨薪水發放。
6.只要在杜拜，每月還會給予500AED(4000NT)駐杜津貼給你花花。
7.生日壽星不再只有蛋糕和蠟燭，我們會發放實質500AED生日津貼真心祝福您。
8.人性化薪資方案，讓您選擇月休四天拚賺錢，或是周休二日讓杜拜生活有質量。
9.每月除基本薪資及津貼，還有讓人興奮的獎金薪資，讓你每月領薪領到笑吱吱。
10.轉正貼心幫您辦理兩年杜拜工作簽，讓您在杜拜不用擔心自己打黑工。
11.每周提供水果餐，每周辦公室零食吃到吐、每周吃下午茶增強Energy。
12.年假21天；一年2天帶薪病假，讓您在杜拜能彈性運用。
13.公司上下班、或是回國回家，我們有帥氣中東小哥接送讓你外出不煩惱。"
91,92,鉅眾資產管理顧問股份有限公司,網路管理工程師,"主要負責IDC & 相關企業網路之規劃與建置、管理及維護。

1.網路、資安系統進行設定、監控、告警、安全性策略的定義與調校處理。
2.網路、資安解決方案研究與導入、專案維護管理。
3.協助關係企業、提供技術支援、障礙排除。
4.對突發狀況緊急應變、處理、提出相關報告。
5.工作報告、紀錄。
6.機房管理、維護。
7.主管交辦資訊相關之事務。

",專科以上,"主要負責IDC & 相關企業網路之規劃與建置、管理及維護。

1.網路、資安系統進行設定、監控、告警、安全性策略的定義與調校處理。
2.網路、資安解決方案研究與導入、專案維護管理。
3.協助關係企業、提供技術支援、障礙排除。
4.對突發狀況緊急應變、處理、提出相關報告。
5.工作報告、紀錄。
6.機房管理、維護。
7.主管交辦資訊相關之事務。

[]1.具備OSI, TCP/IP知識。
2.具備Web Application Firewall(F5-WAF)操作經驗
3.具備Firewall(Pala-alto, Juniper, Fortinet)操作經驗。
4.具備Switch(Cisco, Brocade)操作經驗。
5.具備自主學習能力。
6.具有良好溝通、協調、組織能力。

加分條件:
1.了解CCNA知識優先考慮。
2.了解Linux(CentOS, Ubuntu)優先考慮。
3.了解Configuration management(Ansible, terraform, Saltstack, Chef, Puppet)等自動化部署經驗優先考慮。
4.了解Monitoring(Zabbix, Cacti, Nagios, Prometheus)等監控服務優先考慮。
5.了解Cloud service(GCP, AWS, Azure)等雲端服務優先考慮。
6.了解Automation Language(python, shell script)優先考慮。
7.了解Container(Docker, Kubernetes)優先考慮。
   "
92,93,富智康國際股份有限公司(鴻海集團),【S】資料庫開發與管理工程師(土城),"1.大型資料庫建置、管理及開發
2.解決各種資料庫設計及架構問題
3.為應用端提供良好的設計與建議
4.既有資料庫維運、調校及需求實作",大學、碩士,"1.大型資料庫建置、管理及開發
2.解決各種資料庫設計及架構問題
3.為應用端提供良好的設計與建議
4.既有資料庫維運、調校及需求實作[]DBA：大型資料庫之管理、維護、開發、效能調校、HA、熟T-SQL、Stored Procedure
BI：系統架構設計、管理、維護、開發
ETL：各系統資料收集與整合相關工作
Report：熟悉報表工具，如：Tableau、SSRS等"
93,94,凱信資訊股份有限公司,資訊安全工程師 (資料安全保護),"1. 為客戶提供Guardium, SailPoint管理軟體之安裝，設定與教育訓練
2. 協助客戶建置與維護
3. 本公司提供 在職訓練 (On-Job training)，無經驗亦可
4. 需願意學習，認真負責，主動積極，並具團隊合作精神
5. 對資訊安全領域有熱忱者。",專科、大學、碩士,"1. 為客戶提供Guardium, SailPoint管理軟體之安裝，設定與教育訓練
2. 協助客戶建置與維護
3. 本公司提供 在職訓練 (On-Job training)，無經驗亦可
4. 需願意學習，認真負責，主動積極，並具團隊合作精神
5. 對資訊安全領域有熱忱者。[{'code': '12001001007', 'description': 'Linux'}, {'code': '12001001041', 'description': 'Windows Server 2008'}, {'code': '12001001045', 'description': 'Windows Server 2012'}]1. 懂 Linux / Windows
2. 具網路概念"
94,95,優聘資訊科技有限公司,分析工程師_Analysis Engineer,"1. 依據需求創建、增強和整合資料清理及資料庫操作
2. 熟悉系統自動化程序和流程
3. 閱讀、解釋應用程式編碼設計和功能規格以進行編寫或優化
4. 執行進階分析，提供可操作的見解(Actionable Insights)、資料視覺化，及因應不同需求進行客製化報告
5. 使用資料庫技術（MS SQL，MySQL，Oracle）建立腳本和資料表以進行分析
6. 與心理計量研究員合作，共同打造最佳實踐及產業最佳分析服務",大學以上,"1. 依據需求創建、增強和整合資料清理及資料庫操作
2. 熟悉系統自動化程序和流程
3. 閱讀、解釋應用程式編碼設計和功能規格以進行編寫或優化
4. 執行進階分析，提供可操作的見解(Actionable Insights)、資料視覺化，及因應不同需求進行客製化報告
5. 使用資料庫技術（MS SQL，MySQL，Oracle）建立腳本和資料表以進行分析
6. 與心理計量研究員合作，共同打造最佳實踐及產業最佳分析服務[]1. 2年以上的數據資料庫，資料視覺化及資料分析經驗
2. 具備統計與研究的概念及方法
3. 自助式視覺化工具經驗，如. Tableau, Power BI
4. 了解並熟悉SQL語法
5. 使用SAS、R、Python 及其套件/科學庫
6. 具有Git和Git-based的專案開發經驗優先"
95,96,Capital Power Global Limited,資深Java工程師 ( 疫情期间，在台工作),"【上班時間】
正常行政班09：30〜18：30
週休二日+菲律賓當地假期
           
【薪資福利】
1.，底薪+餐補+旅遊津貼且所有權生日，結婚，喪親津貼
2，年假20天，輪班職位有輪/夜班津貼
3，合法長期工作證，版權當地勞工福利，安全有保障
4，有員工宿舍，夜班交通車，員工教育培訓，醫療保險，當地銀行卡帳戶
5，保證年薪13個月

【工作內容】
1. 後端系統的開發、移除錯誤及測試。
2. 系統wiki的編寫和持續維護。
3. 配合項目進行系統分析及系統功能設計。
4. 分析系統性能，找出Root Cause並在與原系統基礎上進行優化。",專科以上,"【上班時間】
正常行政班09：30〜18：30
週休二日+菲律賓當地假期
           
【薪資福利】
1.，底薪+餐補+旅遊津貼且所有權生日，結婚，喪親津貼
2，年假20天，輪班職位有輪/夜班津貼
3，合法長期工作證，版權當地勞工福利，安全有保障
4，有員工宿舍，夜班交通車，員工教育培訓，醫療保險，當地銀行卡帳戶
5，保證年薪13個月

【工作內容】
1. 後端系統的開發、移除錯誤及測試。
2. 系統wiki的編寫和持續維護。
3. 配合項目進行系統分析及系統功能設計。
4. 分析系統性能，找出Root Cause並在與原系統基礎上進行優化。[{'code': '12001003025', 'description': 'Java'}, {'code': '12001003053', 'description': 'Spring'}, {'code': '12001003056', 'description': 'Struts'}, {'code': '12001004032', 'description': 'MySQL'}, {'code': '12001005023', 'description': 'AWS'}]1. 5年及以上 JAVA開發工作經驗
2. Java基礎扎實, 對於Java常見的異常處理， 事務管理，通訊協議，多線程，設計模式有概念並有實際使用經驗
3.對關係型數據庫有較深入的了解，精通SQL , 並且能對SQL進行優化
4. 有使用過Framework的經驗, 如Struts, Hibernate, Mybatis, Springboot,SpringCloud …etc
5.獨立承擔起復雜業務系統技術架構能力及業務規劃能力，主導過大型分佈式系統設計，架構經驗者優先。
6.有較強的設計能力，對面向對象設計有深入的理解，熟悉常見的設計模式和設計理念
 
以下加分:
1. 對JVM, GC 等Java基礎原理有清楚的了解
2. 有高流量系統開發/設計經驗者，或對TCP/HTTP通訊協議有深入了解者
3. 有參與使用 SpringCloud構建較大型分佈式系統經驗者
4. 有彩票、支付類項目相關開發經驗
5. 熟練kafka、rabbitMq、zookeeper、solr、elasticsearch、elk、fastdfs、nginx、docker等常用中間件，了解源碼者優先
6. 熟悉使用Docker/K8s等容器化系統，具備微服務實踐經驗者優先"
96,97,緯創軟體股份有限公司,【 2020軟體技術人才招募】大數據工程師,"【２年以上軟體相關經驗者，歡迎投遞！】資格不符者，恕不另行通知，謝謝!
緯創軟體是台灣唯一專注於全球交付的資訊服務上櫃公司。因應業績不斷成長，需要大量人才加入國際軟體開發團隊。
● 主要專案有：(1)銀行/保險/證券業系統開發、(2) 半導體/面板/電子產業相關系統開發、(3)通訊業系統開發、(4) 資安系統開發、(5)其他新技術應用開發, 如Machine Learning, Big Data…等。
● 歡迎有任一產業經驗的軟體工程師與程式設計師加入我們。資深者佳。
● 因專案眾多，將根據您產業經驗、技術程度、專長類別、與期待工作地點，於面試時詳談工作內容與機會。

1.因應客戶需求做大數據蒐集、分析與開發
2.將資料視覺化, 程式設計, 工商業邏輯分析判讀.
3.依據分析結果提出優化給善方案.
4.主要技術: Hadoop/R/Python.",專科以上,"【２年以上軟體相關經驗者，歡迎投遞！】資格不符者，恕不另行通知，謝謝!
緯創軟體是台灣唯一專注於全球交付的資訊服務上櫃公司。因應業績不斷成長，需要大量人才加入國際軟體開發團隊。
● 主要專案有：(1)銀行/保險/證券業系統開發、(2) 半導體/面板/電子產業相關系統開發、(3)通訊業系統開發、(4) 資安系統開發、(5)其他新技術應用開發, 如Machine Learning, Big Data…等。
● 歡迎有任一產業經驗的軟體工程師與程式設計師加入我們。資深者佳。
● 因專案眾多，將根據您產業經驗、技術程度、專長類別、與期待工作地點，於面試時詳談工作內容與機會。

1.因應客戶需求做大數據蒐集、分析與開發
2.將資料視覺化, 程式設計, 工商業邏輯分析判讀.
3.依據分析結果提出優化給善方案.
4.主要技術: Hadoop/R/Python.[{'code': '12001003025', 'description': 'Java'}, {'code': '12001004018', 'description': 'ETL'}, {'code': '12001004031', 'description': 'MS SQL'}]"
97,98,中國航運股份有限公司,資訊人員-資料整合分析人員,"1.資料庫規劃與維護
2.資料整合分析
3.報表輸出

",大學以上,"1.資料庫規劃與維護
2.資料整合分析
3.報表輸出

[]1.大學以上
2.資訊工程、資訊管理相關科 
  系或工作經驗
3.海外學經歷者優先
4.其他條件：
  A.熟悉資料庫設計及結構化查詢語言 (SQL)
  B.熟悉ETL開發工具
  C.資料整合相關技術 (Big Data.等)"
98,99,碩達系統股份有限公司,SAP 模組/ABAP顧問,"1.	曾經參與SAP專案規劃，對ERP導入和維運有高度興趣。
2.	曾經參與SAP ERP系統相關導入工作及既有客戶SAP ERP系統維運及優化工作。
3.	負責SAP ABAP開發，熟悉ERP 各模組外掛程式之分析、設計、開發、測試與後續維護。
4.	異質性系統整合及程式效能調教。
5.	配合公司專案需求至客戶端駐點服務。 
6.	工作態度積極、負責，可視狀況獨立作業或與團隊合作，配合公司規定。",專科、大學、碩士,"1.	曾經參與SAP專案規劃，對ERP導入和維運有高度興趣。
2.	曾經參與SAP ERP系統相關導入工作及既有客戶SAP ERP系統維運及優化工作。
3.	負責SAP ABAP開發，熟悉ERP 各模組外掛程式之分析、設計、開發、測試與後續維護。
4.	異質性系統整合及程式效能調教。
5.	配合公司專案需求至客戶端駐點服務。 
6.	工作態度積極、負責，可視狀況獨立作業或與團隊合作，配合公司規定。[{'code': '12006001015', 'description': 'SAP'}]1.	熟悉SAP ERP模組：SD/PP/MM/FI/CO/PS CO等模組產業應用。
2.	ABAP程式撰寫Report/smartform/Batch Input/Function module/ dialog。 
3.	願意接受公司安排參加SAP原廠教育訓練，學習SAP新產品的功能。
4.	具備銷售、生產、採購或財務會計等實務經驗者尤佳。
5.	具備SAP 模組專業認證尤佳。
6.	本工作需配合專案需求出差（以台灣為主）。"
99,100,Ctyco Industry Ltd_中國台業工業有限公司,Software Engineer 軟體工程師 [新廠擴建徵才],"●BPM, SAP Business One系統維護(無經驗，公司可培訓)
●Microsoft .NET 相關應用程式開發及維護
●熟悉 JavaScript, MS SQL Server, XML, MS Office等技術
●進行系統程式之測試與修改
●與同事或廠商協同作業，可溝通、抗壓性強
●主管交辦事項",專科以上,"●BPM, SAP Business One系統維護(無經驗，公司可培訓)
●Microsoft .NET 相關應用程式開發及維護
●熟悉 JavaScript, MS SQL Server, XML, MS Office等技術
●進行系統程式之測試與修改
●與同事或廠商協同作業，可溝通、抗壓性強
●主管交辦事項[{'code': '12001003009', 'description': 'C#'}, {'code': '12001003058', 'description': 'VBA'}, {'code': '12001003060', 'description': 'Visual Basic .net'}, {'code': '12001003061', 'description': 'Visual C#'}, {'code': '12001003067', 'description': 'Visual Studio .net'}, {'code': '12001005013', 'description': 'Microsoft SharePoint'}, {'code': '12001006027', 'description': 'XML'}, {'code': '12001008003', 'description': 'Excel'}, {'code': '12001008016', 'description': 'Word'}, {'code': '12001011012', 'description': 'Power BI\u200b'}, {'code': '12006001015', 'description': 'SAP'}]"
